"GeneName","KO_vs_WT","KO1_vs_KO","KO2_vs_KO","KO3_vs_KO","KO4_vs_KO"
"LAMC3",-5.25695851916459,5.66043871675797,5.97862218866091,5.63137989609198,NA
"GUCY1B1",-5.90985182207253,5.22278107568105,NA,NA,NA
"SLC6A15",-5.45566814758804,5.4717793030089,7.43587356234595,NA,NA
"JPH4",-7.85336389965152,NA,5.71474233247957,5.58147219738397,5.96538187283564
"SLC17A9",-5.03006910196543,6.30556163853443,6.70845943459449,6.64035137356503,6.23599935682399
"LILRB5",-5.59601224370101,5.92342036906646,NA,NA,5.57286214930408
"PGF",-5.51754516823707,5.36927480249259,NA,NA,NA
"VIL1",-5.97677318181428,6.29802222804479,6.62734042937658,6.87025302827117,6.88859919451973
"ZDHHC8BP",-6.01143659997349,5.95524243678804,5.39674793912751,NA,5.46416491924234
"SLC24A4",-5.34718176831215,NA,NA,NA,5.69121185383672
"NXF3",-8.38695650459816,6.4258046869715,6.13161389237765,6.26448877126114,5.79656998370556
"XDH",-5.13342211142285,5.68445205332154,6.13964511303429,NA,NA
"CPA2",-5.9368293915753,7.29885230730527,6.61537322453028,6.03318219470296,7.04912745589875
"SIGLEC11",-5.07827171754061,NA,NA,5.15207948965204,NA
"INSM2",-5.04653046920697,7.47076825881369,6.89093514746377,7.27130559692093,6.82612362541538
"LGALS7B",-5.23703420272767,5.76828414795783,6.25778202385862,5.57762037591371,NA
"PPP1R27",-5.00928895667713,5.45823592697825,5.80107129384691,5.76209589764151,5.55474747107236
"CCR4",-8.20911917947209,NA,5.13607250756598,NA,NA
"C1QTNF12",-6.41158580291078,6.33828571564452,6.5208960321315,6.47396317756844,5.21184616811009
"CLCNKB",-5.29754777447431,NA,5.88973029334368,NA,NA
"NDUFA4L2",-5.51694414345829,6.04863390732539,5.79407670652942,5.44224864842791,5.87611307080813
"GPAT2P2",-5.51568029230201,5.78652186164633,NA,5.03744299309099,5.43191181642105
"BNIP5",-7.72547727947874,8.57505870689073,8.31593666930386,8.42205444666858,8.30150854350351
"C22orf42",-5.14402574424533,5.05377954940419,NA,NA,NA
"IGHA2",-5.70963372951938,7.01750573047651,6.26341506428272,5.00958001271083,7.03347833013243
"LINC02779",-6.90137570282042,5.01013812690019,NA,NA,NA
"HOXB-AS3",-5.2327781795073,5.02354795681187,NA,NA,5.267001778144
"LINC03109",-6.92933297065014,NA,6.43752052330535,6.10259492379345,5.46291329915149
"LINC00942",-5.28969161276865,5.84211475146246,5.51421686187436,5.74172071441584,NA
"RPL13AP26",-5.70468079107436,6.22426105780098,5.80536899068327,5.93280140986036,5.75577252690142
"LINC01484",-5.10452728574921,5.48930154851347,5.15029933901275,NA,NA
"LINC02074",-5.58648587515032,NA,5.62297510960369,5.391705713237,NA
"ARPC1AP2",-5.25729059923574,NA,5.28554788190372,NA,NA
"FLJ30679",-6.58348095382095,6.22073126369491,NA,5.74170509943342,5.9914642607989
"LINC02204",-7.23624064645478,5.17435225205454,NA,5.16192235284719,NA
"CCDC144NL",-5.86494760041114,5.02556133079182,NA,5.15182126925838,NA
